Ticker,Event_Date,T_Zero_AR,11_Day_CAR,Model_R_Squared,Dividend_Amount,Scaled_Yield,Log_Volume,VIX_Raw,USD_INR_Raw,NASDAQ_Raw,VIX_Z,USD_INR_Z,NASDAQ_Z
TCS.NS,2021-01-14,0.0302677880656373,0.0720558891321921,0.7687368230967221,6.0,0.0018457563263681116,15.751592857236735,23.25,73.1698989868164,13112.6396484375,0.5100949768727008,-1.360051626176168,-0.021664927494445745
TCS.NS,2021-05-25,0.0020780132589328,-0.0095369220323629,0.654846049932663,15.0,0.004816955684007707,14.426152376003902,18.84000015258789,72.83660125732422,13657.169921875,-0.3368879351618237,-1.4469044647875642,0.36138912377015714
TCS.NS,2021-07-15,-0.0152340134461428,-0.0462101784272256,0.6868837318900025,7.0,0.002185485289096973,14.618842200222524,17.010000228881836,74.46910095214844,14543.1298828125,-0.6883570322215606,-1.0214973288201263,0.9846245412483571
TCS.NS,2021-10-14,-0.0225329130617962,-0.048199681851772,0.6333462033658279,7.0,0.001938279664578649,15.678396021953272,16.860000610351562,75.3062973022461,14823.4296875,-0.7171659025396385,-0.8033353881676442,1.1818036164840107
TCS.NS,2022-01-19,-0.0009167449135314,0.0319561241570727,0.6010013788500947,7.0,0.0017881547966291985,14.947731366489545,23.850000381469727,74.61969757080078,14340.259765625,0.6253308244696735,-0.9822539057246186,0.8419139812300332
TCS.NS,2022-05-25,-0.0107350073897438,0.0068942552117253,0.6359857122510444,22.0,0.006945211964151139,15.081907587378295,28.3700008392334,77.47879791259766,11434.740234375,1.4934404123556302,-0.2372113849183309,-1.2019963057918448
TCS.NS,2022-07-14,-0.0006720127260381,0.0196318114310688,0.7171041734645138,8.0,0.002667778240933722,15.376788787433892,26.399999618530273,79.80750274658203,11251.1904296875,1.115082718850981,0.3696173067375593,-1.33111584188398
TCS.NS,2022-10-17,0.0018494112778277,0.0090982263824134,0.7871934879011259,8.0,0.0025709006186229615,14.232248554304144,31.3700008392334,82.41280364990234,10675.7998046875,2.0696192840158325,1.0485231583764545,-1.7358788472069882
TCS.NS,2023-01-16,-0.0222364165559535,-0.0327612032815038,0.8405050423377967,75.0,0.022495163210390773,14.427234536740354,18.350000381469727,81.27799987792969,11079.16015625,-0.4309971069073641,0.7528087860856137,-1.4521318742239253
TCS.NS,2023-06-15,-0.0062430196562579,-0.0041562160745619,0.7694281193019092,24.0,0.007461990372678233,14.636967396591652,14.5,82.04499816894531,13782.8203125,-1.1704267321362225,0.9526780707827908,0.44977886722380644
TCS.NS,2023-07-20,0.0035913600237646,0.0170364734974983,0.7533012390187032,9.0,0.0025986775252249154,14.355159179353391,13.989999771118164,82.06169891357422,14063.3095703125,-1.2683771842774163,0.9570300568588872,0.6470912147320884
TCS.NS,2023-10-19,-0.0072745189791331,-0.0169709101078928,0.7063565273784553,9.0,0.0026044304991358837,14.230625621784506,21.399999618530273,83.26860046386719,13186.1796875,0.1547845994173105,1.2715321260063341,0.03006738431113662
INFY.NS,2021-05-31,-0.0077291155208338,-0.0004610515130885,0.7604827939613743,15.0,0.010762331838565023,15.303888471357617,16.760000228881836,72.39350128173828,13748.740234375,-0.7363719381932442,-1.562370269870947,0.4258049715011955
INFY.NS,2021-10-26,-0.0061475583793018,0.0017036133888406,0.7457946677724767,15.0,0.008804367218348737,15.58565629082778,15.979999542236328,75.08989715576172,15235.7099609375,-0.8861785767017748,-0.8597263123624351,1.4718253778082484
INFY.NS,2022-05-31,-0.0126100864212012,0.005862232892954,0.7772965093442775,16.0,0.010641128132344484,16.59021310699718,26.190000534057617,77.5208969116211,12081.3896484375,1.074750373670604,-0.22624096044692854,-0.7471057516986152
INFY.NS,2022-10-27,0.0035903731247413,-0.0053668136912874,0.8493681531194166,16.5,0.010827127221147887,15.726553714085979,27.389999389648438,82.04959869384766,10792.669921875,1.3052217025398885,0.9538769047726885,-1.6536656553162363
INFY.NS,2023-06-02,-0.0101759546447534,0.0221656950289641,0.8451613525164783,17.5,0.013471901462663588,16.205127202744436,14.600000381469727,82.27670288085938,13240.76953125,-1.151220696482617,1.0130571558129629,0.0684690340014899
INFY.NS,2023-10-25,-0.014260201390783,-0.0056658377712878,0.7860417614380089,18.0,0.013138206166553066,15.75292428587015,20.190000534057617,82.98780059814453,12821.2197265625,-0.07760736964980046,1.1983595140690444,-0.2266665355570054
HCLTECH.NS,2021-01-21,0.0002992817159564,-0.0064765663617333,0.663538411695066,4.0,0.004026980820655875,15.996828741153779,21.31999969482422,72.91089630126953,13530.91015625,0.1394198441593582,-1.4275441905029471,0.27257071073856903
HCLTECH.NS,2021-04-29,-0.0114398068606458,0.0054788482614133,0.660920253530966,16.0,0.0175911167222641,15.965961902423636,17.610000610351562,74.31179809570312,14082.5498046875,-0.5731211846245879,-1.0624883059407086,0.6606259070791248
HCLTECH.NS,2021-07-27,-0.0057560841571446,0.0129516926742726,0.6479776002880516,6.0,0.006048387096774193,14.8745202472365,19.360000610351562,74.28949737548828,14660.580078125,-0.23701684282280333,-1.068299569211805,1.0672457936027238
