Date,BSOFT.NS,COFORGE.NS,CYIENT.NS,ECLERX.NS,FSL.NS,HCLTECH.NS,INFY.NS,INTELLECT.NS,KPITTECH.NS,LTIM.NS,LTTS.NS,MASTEK.NS,MPHASIS.NS,OFSS.NS,PERSISTENT.NS,SONATSOFTW.NS,TATAELXSI.NS,TCS.NS,TECHM.NS,WIPRO.NS,ZENSARTECH.NS,^CNXIT
2020-01-01,71.5999984741211,315.6400146484375,432.70001220703125,212.39999389648438,41.349998474121094,571.9500122070312,736.8499755859375,141.4499969482422,91.44999694824219,1782.0999755859375,1493.800048828125,418.75,923.7999877929688,2736.14990234375,353.20001220703125,117.30000305175781,827.8499755859375,2167.60009765625,762.0999755859375,123.8499984741211,175.39999389648438,15722.150390625
2020-01-02,73.3499984741211,315.8999938964844,442.3999938964844,214.0833282470703,42.099998474121094,573.5499877929688,734.7000122070312,145.5,89.3499984741211,1821.550048828125,1513.199951171875,426.20001220703125,894.0499877929688,2721.949951171875,356.70001220703125,117.67500305175781,828.25,2157.64990234375,766.0499877929688,124.1500015258789,180.3000030517578,15709.650390625
2020-01-03,72.1500015258789,326.19000244140625,436.8999938964844,222.35000610351562,42.150001525878906,585.0499877929688,746.0,143.64999389648438,91.25,1812.550048828125,1510.5999755859375,421.0,883.7000122070312,2717.10009765625,347.29998779296875,117.3187484741211,838.0999755859375,2200.64990234375,775.0999755859375,125.55000305175781,190.9499969482422,15936.599609375
2020-01-06,71.30000305175781,329.54998779296875,425.75,217.48333740234375,41.099998474121094,582.0,738.8499755859375,145.5,87.55000305175781,1819.449951171875,1509.550048828125,408.6499938964844,875.2000122070312,2688.550048828125,341.57501220703125,116.625,823.4000244140625,2200.449951171875,770.4000244140625,126.07499694824219,181.9499969482422,15879.7998046875
2020-01-07,70.9000015258789,331.1499938964844,418.8999938964844,224.51666259765625,41.150001525878906,584.25,727.9000244140625,150.14999389648438,86.5999984741211,1833.0999755859375,1516.3499755859375,422.3999938964844,885.7999877929688,2669.39990234375,341.6000061035156,117.09375,826.8499755859375,2205.85009765625,777.0999755859375,127.5999984741211,184.0,15895.2001953125
2020-01-08,70.1500015258789,345.30999755859375,416.20001220703125,222.53334045410156,40.45000076293945,585.75,718.2000122070312,149.89999389648438,86.05000305175781,1809.300048828125,1537.75,425.25,883.9500122070312,2747.699951171875,341.8500061035156,114.95625305175781,821.3499755859375,2255.25,769.7999877929688,127.4000015258789,183.89999389648438,15953.4501953125
2020-01-09,70.5999984741211,350.7300109863281,420.3500061035156,222.89999389648438,40.650001525878906,580.2999877929688,727.5499877929688,153.0,87.30000305175781,1816.5999755859375,1551.4000244140625,434.04998779296875,883.2999877929688,2751.60009765625,342.79998779296875,117.86250305175781,843.1500244140625,2214.35009765625,773.6500244140625,126.82499694824219,184.85000610351562,15925.150390625
2020-01-10,70.75,345.1000061035156,431.04998779296875,223.38333129882812,41.0,580.3499755859375,738.1500244140625,152.25,87.3499984741211,1820.4000244140625,1560.9000244140625,438.3999938964844,876.5,2854.949951171875,344.17498779296875,117.7125015258789,848.5499877929688,2213.550048828125,776.25,125.875,184.8000030517578,15959.900390625
2020-01-13,72.69999694824219,354.95001220703125,446.6499938964844,225.56666564941406,41.45000076293945,586.5,773.5499877929688,156.8000030517578,93.0999984741211,1826.949951171875,1562.3499755859375,440.29998779296875,882.5,2955.199951171875,341.45001220703125,118.6312484741211,891.0499877929688,2190.35009765625,785.8499755859375,127.4000015258789,185.6999969482422,16225.900390625
2020-01-14,73.1500015258789,361.3999938964844,449.3999938964844,227.43333435058594,42.349998474121094,594.2999877929688,775.6500244140625,154.0,97.94999694824219,1877.949951171875,1589.8499755859375,439.6499938964844,900.3499755859375,2957.14990234375,342.0249938964844,118.9312515258789,907.9000244140625,2206.89990234375,796.25,128.60000610351562,188.0,16362.349609375
2020-01-15,73.05000305175781,360.9100036621094,454.54998779296875,223.93333435058594,43.0,595.75,767.5499877929688,159.6999969482422,102.3499984741211,1933.5999755859375,1601.449951171875,441.75,901.4000244140625,2956.5,354.20001220703125,120.0374984741211,948.0499877929688,2226.89990234375,795.1500244140625,124.125,186.39999389648438,16346.849609375
2020-01-16,71.94999694824219,356.5899963378906,450.8999938964844,230.0,42.75,593.25,767.0,161.89999389648438,103.55000305175781,1901.5999755859375,1655.6500244140625,442.6000061035156,889.1500244140625,2881.39990234375,350.0249938964844,122.0999984741211,958.75,2238.800048828125,782.8499755859375,125.2249984741211,187.75,16381.650390625
2020-01-17,72.55000305175781,359.82000732421875,455.0,225.43333435058594,43.099998474121094,598.7999877929688,767.8499755859375,160.39999389648438,104.4000015258789,1902.3499755859375,1642.6500244140625,441.75,898.0999755859375,2907.25,351.67498779296875,120.9375,947.1500244140625,2219.10009765625,778.4500122070312,125.55000305175781,188.4499969482422,16356.599609375
2020-01-20,72.5,356.239990234375,462.45001220703125,220.38333129882812,42.400001525878906,589.25,768.4500122070312,158.8000030517578,102.3499984741211,1895.9000244140625,1627.800048828125,442.04998779296875,885.9000244140625,2919.199951171875,351.125,124.1624984741211,936.75,2170.35009765625,778.2000122070312,124.0,187.4499969482422,16207.150390625
2020-01-21,71.9000015258789,360.3299865722656,460.29998779296875,223.18333435058594,42.650001525878906,584.0499877929688,762.5,161.85000610351562,98.3499984741211,1908.75,1626.0999755859375,443.25,880.0,2949.60009765625,357.04998779296875,124.61250305175781,954.7000122070312,2171.050048828125,778.9000244140625,123.55000305175781,186.0,16175.2001953125
2020-01-22,73.80000305175781,374.5299987792969,484.6000061035156,219.5833282470703,43.20000076293945,590.6500244140625,770.2000122070312,170.3000030517578,98.0,1924.1500244140625,1633.050048828125,442.6000061035156,888.9000244140625,2954.0,363.07501220703125,124.6875,960.8499755859375,2206.89990234375,778.75,122.92500305175781,195.89999389648438,16334.5498046875
2020-01-23,72.94999694824219,395.80999755859375,492.25,221.03334045410156,43.70000076293945,598.9500122070312,784.3499755859375,170.85000610351562,98.30000305175781,1935.3499755859375,1724.550048828125,441.79998779296875,911.0999755859375,2974.550048828125,369.375,124.6500015258789,968.2999877929688,2190.949951171875,768.9500122070312,124.3499984741211,198.89999389648438,16474.400390625
2020-01-24,72.94999694824219,386.4100036621094,491.75,223.4166717529297,43.650001525878906,607.7000122070312,782.75,170.85000610351562,101.3499984741211,1960.800048828125,1734.300048828125,445.04998779296875,908.4500122070312,2989.199951171875,364.875,128.34375,963.25,2183.39990234375,787.2999877929688,123.80000305175781,174.39999389648438,16472.75
2020-01-27,72.5999984741211,389.7699890136719,491.54998779296875,226.93333435058594,42.650001525878906,604.3499755859375,778.0999755859375,170.4499969482422,101.19999694824219,1948.050048828125,1739.1500244140625,441.25,891.0999755859375,2954.949951171875,360.82501220703125,130.27499389648438,942.75,2169.25,791.5,122.67500305175781,176.85000610351562,16393.55078125
2020-01-28,71.75,401.82000732421875,492.45001220703125,223.31666564941406,42.349998474121094,601.4500122070312,778.0,170.35000610351562,98.9000015258789,1948.0999755859375,1693.300048828125,419.8500061035156,925.5,2914.800048828125,361.25,131.47500610351562,947.2000122070312,2183.75,794.25,122.0250015258789,174.25,16429.75
2020-01-29,71.8499984741211,388.2099914550781,490.5,221.60000610351562,44.150001525878906,608.8499755859375,789.7000122070312,172.10000610351562,98.8499984741211,1958.4000244140625,1728.8499755859375,441.29998779296875,936.5999755859375,2901.85009765625,350.45001220703125,131.3249969482422,932.5999755859375,2154.60009765625,804.1500244140625,123.375,175.5500030517578,16479.30078125
2020-01-30,70.6500015258789,369.79998779296875,487.25,208.76666259765625,45.04999923706055,607.8499755859375,780.7000122070312,170.89999389648438,99.69999694824219,1949.800048828125,1689.1500244140625,441.25,918.9500122070312,2864.60009765625,344.57501220703125,129.33749389648438,957.5499877929688,2137.85009765625,791.3499755859375,120.3499984741211,172.9499969482422,16327.900390625
2020-01-31,79.3499984741211,388.489990234375,490.95001220703125,210.71665954589844,43.900001525878906,591.4000244140625,775.9500122070312,170.1999969482422,99.44999694824219,1940.25,1679.25,441.79998779296875,929.8499755859375,2940.550048828125,350.4750061035156,125.8125,949.2000122070312,2079.050048828125,796.5999755859375,118.4000015258789,171.1999969482422,16144.150390625
2020-02-03,89.3499984741211,377.0799865722656,475.29998779296875,201.8333282470703,41.54999923706055,579.0999755859375,767.4000244140625,163.85000610351562,98.44999694824219,1956.25,1640.9000244140625,432.0,893.8499755859375,3081.25,354.29998779296875,126.1312484741211,957.0999755859375,2102.5,793.1500244140625,118.69999694824219,164.6999969482422,16059.900390625
2020-02-04,87.94999694824219,384.5199890136719,481.20001220703125,202.98333740234375,42.650001525878906,586.5,787.8499755859375,170.89999389648438,97.9000015258789,1940.6500244140625,1699.8499755859375,445.29998779296875,913.3499755859375,2992.75,358.4750061035156,128.77499389648438,1030.3499755859375,2107.75,811.0999755859375,120.125,164.3000030517578,16350.849609375
2020-02-05,89.4000015258789,387.0899963378906,485.6499938964844,208.0500030517578,42.70000076293945,595.5999755859375,784.5499877929688,166.89999389648438,96.9000015258789,1924.699951171875,1695.0,445.04998779296875,920.9500122070312,2981.60009765625,357.1000061035156,126.48750305175781,1027.5,2146.550048828125,814.0499877929688,121.125,162.9499969482422,16448.55078125
2020-02-06,93.05000305175781,379.8999938964844,491.20001220703125,210.85000610351562,42.650001525878906,599.7000122070312,771.3499755859375,165.1999969482422,95.3499984741211,1913.8499755859375,1672.199951171875,445.1000061035156,942.9500122070312,2905.800048828125,352.75,128.68124389648438,1035.449951171875,2128.35009765625,817.7000122070312,121.82499694824219,164.64999389648438,16371.150390625
2020-02-07,90.9000015258789,377.1499938964844,486.5,211.21665954589844,42.54999923706055,607.7000122070312,777.2999877929688,165.0500030517578,96.0999984741211,1944.6500244140625,1687.8499755859375,452.6000061035156,937.4000244140625,2897.35009765625,354.8500061035156,129.3000030517578,1030.5,2136.550048828125,824.4500122070312,121.9749984741211,161.14999389648438,16470.150390625
2020-02-10,88.69999694824219,371.5899963378906,468.75,205.64999389648438,41.79999923706055,604.9000244140625,773.2000122070312,160.85000610351562,96.9000015258789,1950.199951171875,1683.1500244140625,417.1000061035156,930.0499877929688,2943.10009765625,350.54998779296875,128.3249969482422,1058.5,2161.949951171875,813.6500244140625,120.44999694824219,158.5500030517578,16431.94921875
2020-02-11,90.0999984741211,366.0799865722656,471.8999938964844,207.21665954589844,42.099998474121094,610.6500244140625,773.5499877929688,157.75,95.1500015258789,1996.449951171875,1696.699951171875,420.3500061035156,913.2999877929688,2900.10009765625,349.95001220703125,125.69999694824219,1082.4000244140625,2153.39990234375,819.9500122070312,120.625,155.8000030517578,16452.30078125
